"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"25/05/2026","4.558,75","4.567,74","4.579,07","4.557,11","","-0,19%"
"24/05/2026","4.567,25","4.535,04","4.579,68","4.534,85","","1,28%"
"22/05/2026","4.509,38","4.542,41","4.552,77","4.491,79","","-0,79%"
"21/05/2026","4.545,18","4.544,30","4.572,71","4.489,59","","0,00%"
"20/05/2026","4.545,16","4.482,18","4.552,78","4.453,12","","1,40%"
"19/05/2026","4.482,46","4.567,63","4.589,76","4.465,34","","-1,86%"
"18/05/2026","4.567,61","4.531,42","4.584,54","4.480,31","","0,67%"
"17/05/2026","4.537,15","4.533,40","4.555,35","4.529,18","","-0,06%"
"15/05/2026","4.540,07","4.651,98","4.665,73","4.511,62","","-2,41%"
"14/05/2026","4.651,97","4.688,84","4.718,93","4.643,90","","-0,78%"
"13/05/2026","4.688,63","4.715,29","4.727,21","4.669,45","","-0,56%"
"12/05/2026","4.715,27","4.734,97","4.773,83","4.638,32","","-0,42%"
"11/05/2026","4.735,27","4.683,79","4.748,78","4.647,54","","0,43%"
"08/05/2026","4.714,89","4.686,82","4.750,75","4.678,20","","0,60%"
"07/05/2026","4.686,81","4.690,26","4.765,17","4.684,44","","-0,07%"
"06/05/2026","4.690,25","4.569,01","4.723,55","4.546,22","","2,92%"
"05/05/2026","4.557,23","4.523,91","4.586,79","4.513,27","","0,74%"
"04/05/2026","4.523,90","4.623,02","4.631,43","4.500,85","","-1,97%"
"01/05/2026","4.614,95","4.626,45","4.660,62","4.559,94","","-0,17%"
"30/04/2026","4.622,59","4.541,53","4.647,51","4.539,39","","1,73%"
"29/04/2026","4.544,12","4.595,52","4.610,39","4.509,96","","-1,12%"
"28/04/2026","4.595,51","4.682,12","4.701,82","4.554,63","","-1,85%"
"27/04/2026","4.682,10","4.699,05","4.730,18","4.666,96","","-0,58%"
"24/04/2026","4.709,25","4.693,89","4.740,58","4.657,64","","0,33%"
"23/04/2026","4.693,88","4.738,79","4.754,40","4.664,33","","-0,95%"
"22/04/2026","4.738,78","4.721,80","4.772,59","4.708,34","","0,55%"
"21/04/2026","4.712,85","4.820,25","4.833,34","4.667,96","","-2,24%"
"20/04/2026","4.820,83","4.792,93","4.828,07","4.736,74","","-0,20%"
"17/04/2026","4.830,43","4.792,42","4.889,70","4.767,47","","0,87%"
"16/04/2026","4.788,58","4.791,83","4.840,28","4.773,26","","-0,05%"
"15/04/2026","4.791,14","4.841,06","4.871,78","4.786,37","","-1,03%"
"14/04/2026","4.841,14","4.743,06","4.846,97","4.741,01","","2,10%"
"13/04/2026","4.741,69","4.686,91","4.750,39","4.644,20","","-0,14%"
"10/04/2026","4.748,18","4.765,77","4.795,42","4.731,04","","-0,37%"
"09/04/2026","4.766,00","4.730,48","4.801,51","4.698,56","","0,99%"
"08/04/2026","4.719,37","4.744,50","4.856,30","4.699,46","","0,28%"
"07/04/2026","4.706,00","4.660,00","4.718,25","4.607,30","","1,18%"
"06/04/2026","4.650,89","4.653,83","4.706,67","4.601,08","","-0,55%"
"03/04/2026","4.676,42","4.676,42","4.676,42","4.676,42","","0,00%"
"02/04/2026","4.676,42","4.758,78","4.801,00","4.553,94","","-1,73%"
"01/04/2026","4.758,76","4.672,02","4.793,35","4.661,66","","1,86%"